Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 111.0.0.0,,,2023-04-03 14:37:38,2023-04-03 14:41:29,3m - 51.392s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.001 List Special Dates _verify all element,Chrome 111.0.0.0,,,2023-04-03 14:37:38,2023-04-03 14:37:56,18.177s,PASSED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 14:37:38,2023-04-03 14:37:49,10.334s,PASSED
"click(findTestObject(""Object Repository/corporate_airline_fare/dashboardBtn""))",Chrome 111.0.0.0,,,2023-04-03 14:37:49,2023-04-03 14:37:51,2.259s,PASSED
"click(findTestObject(""Object Repository/job_title/setupAndConfigurationBtn""))",Chrome 111.0.0.0,,,2023-04-03 14:37:51,2023-04-03 14:37:52,0.610s,PASSED
"click(findTestObject(""Object Repository/special_dates/subMenu_special_dates""))",Chrome 111.0.0.0,,,2023-04-03 14:37:52,2023-04-03 14:37:52,0.575s,PASSED
"click(findTestObject(""Object Repository/corporate_airline_fare/breadcrumb""))",Chrome 111.0.0.0,,,2023-04-03 14:37:52,2023-04-03 14:37:53,1.122s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/special_dates/h1_title_sd""), 0)",Chrome 111.0.0.0,,,2023-04-03 14:37:53,2023-04-03 14:37:54,0.412s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/special_dates/list_tbl_name""), 0)",Chrome 111.0.0.0,,,2023-04-03 14:37:54,2023-04-03 14:37:54,0.404s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/special_dates/list_tbl_start_date""), 0)",Chrome 111.0.0.0,,,2023-04-03 14:37:54,2023-04-03 14:37:55,0.362s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/special_dates/list_tbl_end_date""), 0)",Chrome 111.0.0.0,,,2023-04-03 14:37:55,2023-04-03 14:37:55,0.352s,PASSED
takeScreenshot(),Chrome 111.0.0.0,,,2023-04-03 14:37:55,2023-04-03 14:37:55,0.518s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-03 14:37:55,2023-04-03 14:37:56,0.750s,PASSED
,,,,,,,
"Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.002 Search _by Name, up and low case character",Chrome 111.0.0.0,,,2023-04-03 14:37:56,2023-04-03 14:37:57,0.716s,ERROR
"callTestCase(findTestCase(""login_scenario_manager""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 14:37:56,2023-04-03 14:37:57,0.382s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.003 Search _by start date,Chrome 111.0.0.0,,,2023-04-03 14:37:57,2023-04-03 14:37:57,0.263s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.004 Search _by end date,Chrome 111.0.0.0,,,2023-04-03 14:37:57,2023-04-03 14:37:57,0.330s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.005 Search _with text more than 256 character,Chrome 111.0.0.0,,,2023-04-03 14:37:57,2023-04-03 14:37:58,0.394s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.006 Search _data does not exist,Chrome 111.0.0.0,,,2023-04-03 14:37:58,2023-04-03 14:37:58,0.272s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.007 Filter,Chrome 111.0.0.0,,,2023-04-03 14:37:58,2023-04-03 14:37:58,0.291s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.008 Filter _reset filter,Chrome 111.0.0.0,,,2023-04-03 14:37:58,2023-04-03 14:37:59,0.292s,ERROR
,,,,,,,
