Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 108.0.0.0,,,2023-01-12 18:57:56,2023-01-12 18:58:41,45.346s,PASSED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,Chrome 108.0.0.0,,,2023-01-12 18:57:56,2023-01-12 18:58:19,22.918s,PASSED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-12 18:57:57,2023-01-12 18:58:07,10.675s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 108.0.0.0,,,2023-01-12 18:58:07,2023-01-12 18:58:09,2.097s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Age Qualifying Type""))",Chrome 108.0.0.0,,,2023-01-12 18:58:09,2023-01-12 18:58:10,0.537s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/input_Age Qualifying Types_form-control""), ""Age Qualifying Type Name (Automation)"")",Chrome 108.0.0.0,,,2023-01-12 18:58:10,2023-01-12 18:58:12,1.692s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/path_Actions_svg_2""), 0)",Chrome 108.0.0.0,,,2023-01-12 18:58:12,2023-01-12 18:58:12,0.490s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/input_Actions_float-left select-checkbox-it_8952ca""), 0)",Chrome 108.0.0.0,,,2023-01-12 18:58:12,2023-01-12 18:58:13,0.371s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_321""), 0)",Chrome 108.0.0.0,,,2023-01-12 18:58:13,2023-01-12 18:58:13,0.640s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_Age Qualifying Type Name (Automation)""), 0)",Chrome 108.0.0.0,,,2023-01-12 18:58:13,2023-01-12 18:58:14,0.371s,PASSED
