Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 108.0.0.0,,,2023-01-12 12:03:18,2023-01-12 12:04:00,42.189s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Create,Chrome 108.0.0.0,,,2023-01-12 12:03:19,2023-01-12 12:03:41,22.757s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-12 12:03:19,2023-01-12 12:03:28,9.070s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 108.0.0.0,,,2023-01-12 12:03:28,2023-01-12 12:03:30,2.209s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Age Qualifying Type""))",Chrome 108.0.0.0,,,2023-01-12 12:03:30,2023-01-12 12:03:31,0.517s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/button_Create New""))",Chrome 108.0.0.0,,,2023-01-12 12:03:31,2023-01-12 12:03:32,1.057s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Name_age_qualifyi_ba4776""))",Chrome 108.0.0.0,,,2023-01-12 12:03:32,2023-01-12 12:03:33,0.689s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/div_Age Qualifying Type Name""))",Chrome 108.0.0.0,,,2023-01-12 12:03:33,2023-01-12 12:03:33,0.493s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Name_age_qualifyi_ba4776""), ""Age Qualifying Type Name (Automation)"")",Chrome 108.0.0.0,,,2023-01-12 12:03:33,2023-01-12 12:03:36,3.291s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Code_age_qualifyi_5ae899""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 12:03:36,2023-01-12 12:03:37,1.041s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/button_SAVE""))",Chrome 108.0.0.0,,,2023-01-12 12:03:37,2023-01-12 12:03:38,0.899s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/div_Record 321 - Age Qualifying Type Name (_29f3cb""), 0)",Chrome 108.0.0.0,,,2023-01-12 12:03:38,2023-01-12 12:03:39,0.996s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/input_Age Qualifying Types_form-control""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 12:03:39,2023-01-12 12:03:40,0.871s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/td_321""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 12:03:40,2023-01-12 12:03:41,0.439s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/td_Age Qualifying Type Name (Automation)""), ""Age Qualifying Type Name (Automation)"")",Chrome 108.0.0.0,,,2023-01-12 12:03:41,2023-01-12 12:03:41,0.714s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,Chrome 108.0.0.0,,,2023-01-12 12:03:41,2023-01-12 12:04:00,19.038s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-12 12:03:42,2023-01-12 12:03:49,7.286s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 108.0.0.0,,,2023-01-12 12:03:49,2023-01-12 12:03:51,2.123s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Age Qualifying Type""))",Chrome 108.0.0.0,,,2023-01-12 12:03:51,2023-01-12 12:03:52,0.572s,PASSED
