Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 108.0.0.0,,,2023-01-12 00:12:11,2023-01-12 00:14:16,2m - 5.119s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Create,Chrome 108.0.0.0,,,2023-01-12 00:12:11,2023-01-12 00:13:41,1m - 29.101s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-12 00:12:12,2023-01-12 00:12:27,15.472s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 108.0.0.0,,,2023-01-12 00:12:27,2023-01-12 00:12:32,4.245s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Age Qualifying Type""))",Chrome 108.0.0.0,,,2023-01-12 00:12:32,2023-01-12 00:12:32,0.575s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/button_Create New""))",Chrome 108.0.0.0,,,2023-01-12 00:12:32,2023-01-12 00:12:34,1.639s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Name_age_qualifyi_ba4776""))",Chrome 108.0.0.0,,,2023-01-12 00:12:34,2023-01-12 00:12:35,0.986s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/div_Age Qualifying Type Name""))",Chrome 108.0.0.0,,,2023-01-12 00:12:35,2023-01-12 00:12:36,0.692s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Name_age_qualifyi_ba4776""), ""Age Qualifying Type Name (Automation)"")",Chrome 108.0.0.0,,,2023-01-12 00:12:36,2023-01-12 00:12:57,21.585s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/input_Age Qualifying Type Code_age_qualifyi_5ae899""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 00:12:57,2023-01-12 00:13:00,3.047s,PASSED
"click(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Create Age Qualifying Type/button_SAVE""))",Chrome 108.0.0.0,,,2023-01-12 00:13:00,2023-01-12 00:13:04,4.271s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/div_Record 321 - Age Qualifying Type Name (_29f3cb""), 0)",Chrome 108.0.0.0,,,2023-01-12 00:13:04,2023-01-12 00:13:06,1.138s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/input_Age Qualifying Types_form-control""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 00:13:06,2023-01-12 00:13:08,2.484s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/td_321""), ""321"")",Chrome 108.0.0.0,,,2023-01-12 00:13:08,2023-01-12 00:13:09,0.639s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Create/Page_Bayu Buana - Age Qualifying Types/td_Age Qualifying Type Name (Automation)""), ""Age Qualifying Type Name (Automation)"")",Chrome 108.0.0.0,,,2023-01-12 00:13:09,2023-01-12 00:13:41,31.865s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,Chrome 108.0.0.0,,,2023-01-12 00:13:41,2023-01-12 00:14:16,35.629s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-12 00:13:41,2023-01-12 00:14:00,18.703s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 108.0.0.0,,,2023-01-12 00:14:00,2023-01-12 00:14:04,4.189s,PASSED
