Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 109.0.0.0,,,2023-01-18 14:11:03,2023-01-18 14:13:20,2m - 16.828s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,Chrome 109.0.0.0,,,2023-01-18 14:11:04,2023-01-18 14:12:19,1m - 15.460s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2023-01-18 14:11:04,2023-01-18 14:12:19,1m - 14.703s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Create,Chrome 109.0.0.0,,,2023-01-18 14:12:19,2023-01-18 14:13:20,1m - 0.783s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2023-01-18 14:12:20,2023-01-18 14:13:20,1m - 0.128s,FAILED
