Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,,,,2023-03-17 14:14:15,2023-03-17 14:14:49,33.169s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.030 Create New _Occurs on the same date every year,,,,2023-03-17 14:14:16,2023-03-17 14:14:18,1.410s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.031 Create New _all mandatory blank,,,,2023-03-17 14:14:18,2023-03-17 14:14:19,1.626s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.032 Create New _cancel create,,,,2023-03-17 14:14:19,2023-03-17 14:14:20,0.914s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.035 Edit _field name _only input spaces or tabs,,,,2023-03-17 14:14:20,2023-03-17 14:14:27,6.722s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:21,2023-03-17 14:14:27,5.905s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.036 Edit _field name _1 character,,,,2023-03-17 14:14:27,2023-03-17 14:14:30,2.597s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:28,2023-03-17 14:14:30,1.652s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.037 Edit _field name _more than 256 characters,,,,2023-03-17 14:14:30,2023-03-17 14:14:30,0.552s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.038 Edit _field name blank,,,,2023-03-17 14:14:30,2023-03-17 14:14:31,0.361s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.039-040,,,,2023-03-17 14:14:31,2023-03-17 14:14:31,0.595s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.042 Edit _start date _11 years ago,,,,2023-03-17 14:14:31,2023-03-17 14:14:32,0.499s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.043 Edit _start date _11 years into the future,,,,2023-03-17 14:14:32,2023-03-17 14:14:32,0.664s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.046 Edit_send date _11 years ago,,,,2023-03-17 14:14:32,2023-03-17 14:14:33,0.910s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.047 Edit _end date _11 years into the future,,,,2023-03-17 14:14:33,2023-03-17 14:14:34,0.621s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.053 Edit _cancel,,,,2023-03-17 14:14:34,2023-03-17 14:14:34,0.349s,ERROR
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.056 Delete Special Dates,,,,2023-03-17 14:14:34,2023-03-17 14:14:36,1.792s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:35,2023-03-17 14:14:36,1.444s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.057 Delete _cancel delete,,,,2023-03-17 14:14:36,2023-03-17 14:14:38,2.295s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:37,2023-03-17 14:14:38,1.714s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.061 Sort _by name,,,,2023-03-17 14:14:38,2023-03-17 14:14:41,2.768s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:39,2023-03-17 14:14:41,1.942s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.062 Sort _by start date,,,,2023-03-17 14:14:41,2023-03-17 14:14:43,2.364s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:42,2023-03-17 14:14:43,1.536s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.063 Sort _by end date,,,,2023-03-17 14:14:43,2023-03-17 14:14:46,2.600s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:44,2023-03-17 14:14:46,1.926s,FAILED
,,,,,,,
Test Cases/SCENARIO/Setup and Configuration/Special Dates/SD_TC.064 Pagination Special Dates,,,,2023-03-17 14:14:46,2023-03-17 14:14:49,2.529s,FAILED
"callTestCase(findTestCase(""login_internal""), [:], STOP_ON_FAILURE)",,,,2023-03-17 14:14:47,2023-03-17 14:14:49,1.876s,FAILED
