Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,,,,2023-01-16 14:23:56,2023-01-16 14:24:04,7.911s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,,,,2023-01-16 14:23:56,2023-01-16 14:24:02,5.141s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",,,,2023-01-16 14:23:57,2023-01-16 14:24:02,4.244s,FAILED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Create,,,,2023-01-16 14:24:02,2023-01-16 14:24:04,2.023s,FAILED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",,,,2023-01-16 14:24:02,2023-01-16 14:24:04,1.584s,FAILED
